id_pedido,id_restaurante,valor_pedido,quantidade_itens,tempo_preparo_minutos,tempo_entrega_minutos,tempo_total_minutos,tempo_estimado_minutos,atraso_minutos,atrasado,clima,hora,dia_semana,distancia_km
1,57,148.67,2,26,43,69,36,33,1,Chuvoso,20,Sábado,2.4
2,72,77.35,3,11,11,22,24,-2,0,Ensolarado,10,Segunda,1.3
3,27,62.86,3,16,54,70,44,26,1,Nublado,21,Segunda,6.1
4,80,46.9,2,22,48,70,70,0,0,Nublado,10,Sábado,11.5
5,4,50.87,4,29,17,46,33,13,1,Chuvoso,18,Segunda,1.7
6,50,15.0,6,15,21,36,33,3,0,Ensolarado,7,Quinta,3.0
7,38,49.85,4,13,5,18,26,-8,0,Ensolarado,16,Segunda,0.5
8,43,141.84,6,22,24,46,32,14,1,Chuvoso,15,Sábado,2.5
9,56,57.67,3,31,28,59,34,25,1,Tempestade,18,Domingo,0.5
10,19,20.94,3,55,16,71,45,26,1,Chuvoso,19,Sexta,0.5
11,10,15.39,2,14,23,37,27,10,1,Nublado,21,Sábado,1.1
12,27,79.5,3,26,62,88,51,37,1,Chuvoso,11,Sexta,8.1
13,16,63.17,2,25,22,47,42,5,0,Ensolarado,18,Quarta,2.6
14,62,37.28,1,32,40,72,41,31,1,Nublado,12,Quarta,1.8
15,54,65.47,1,40,34,74,46,28,1,Chuvoso,11,Sábado,2.8
16,53,34.3,2,16,26,42,43,-1,0,Nublado,14,Sexta,4.9
17,8,66.07,3,10,9,19,21,-2,0,Nublado,14,Domingo,0.5
18,77,47.77,1,11,17,28,26,2,0,Ensolarado,21,Sábado,0.5
19,63,32.79,6,42,79,121,45,76,1,Tempestade,13,Sábado,4.6
20,39,123.09,3,17,23,40,40,0,0,Nublado,14,Sábado,3.6
21,58,16.34,1,15,18,33,41,-8,0,Nublado,10,Terça,4.2
22,41,43.05,2,6,88,94,57,37,1,Nublado,12,Sábado,11.5
23,31,79.91,1,20,24,44,40,4,0,Nublado,15,Terça,1.6
24,9,15.0,3,9,20,29,27,2,0,Ensolarado,13,Sexta,1.5
25,79,68.75,2,22,5,27,31,-4,0,Ensolarado,8,Quinta,0.7
26,33,178.22,2,24,15,39,36,3,0,Chuvoso,10,Quarta,1.3
27,72,50.15,1,9,34,43,31,12,1,Ensolarado,19,Sábado,3.4
28,9,48.55,2,13,34,47,38,9,1,Garoa,2,Sexta,4.7
29,49,205.78,4,34,26,60,40,20,1,Chuvoso,18,Sábado,1.9
30,27,57.86,2,15,38,53,51,2,0,Ensolarado,22,Terça,8.1
31,20,178.45,2,23,32,55,47,8,1,Nublado,8,Sábado,4.9
32,58,36.14,3,22,29,51,42,9,1,Ensolarado,19,Sábado,4.4
33,19,23.81,6,37,25,62,49,13,1,Chuvoso,19,Terça,1.7
34,10,48.86,3,11,19,30,30,0,0,Ensolarado,7,Segunda,2.1
35,58,22.21,1,27,19,46,29,17,1,Chuvoso,22,Quinta,0.5
36,5,40.15,4,21,8,29,32,-3,0,Ensolarado,19,Sexta,0.6
37,21,77.9,6,27,17,44,34,10,1,Ensolarado,21,Sexta,0.9
