id_avaliacao,id_pedido,id_restaurante,nota,comentario,criado_em
1,1861,5,5,Pedi pela segunda vez e não decepcionou.,2024-01-10 17:00:00
2,354,64,5,Superou todas as expectativas. Nota máxima com folga.,2024-04-05 02:00:00
3,1334,57,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-10-13 00:00:00
4,906,54,2,"Refrigerante chegou quente, sem gelo nenhum.",2024-02-03 18:00:00
5,1290,62,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-01-13 08:00:00
6,1274,77,1,"Embalagem rasgada, comida derramou toda na sacola.",2024-03-25 21:00:00
7,939,40,3,"Atendimento neutro, comida sem destaque.",2024-08-21 19:00:00
8,1732,62,1,"Prazo era 40 min, levou 2h30. Comida obviamente fria.",2024-03-18 05:00:00
9,66,41,5,"Marmita completa, bem temperada e ainda quente.",2024-09-29 08:00:00
10,1324,65,4,Entregador simpático e cuidadoso com o pedido.,2024-03-26 14:00:00
11,57,44,4,Pedi pela segunda vez e manteve a qualidade.,2024-04-18 00:00:00
12,1293,34,1,Faltaram itens no pedido. Paguei por algo que não veio.,2024-09-28 03:00:00
13,1119,10,4,Embalagem térmica manteve a comida quente.,2024-04-17 21:00:00
14,585,32,2,"Frango ressecado, parecia requentado.",2024-10-23 12:00:00
15,375,70,3,"Tudo certo, sem reclamações. Só não ficou surpreso.",2024-02-06 00:00:00
16,276,9,4,"Comida incrível, super recomendo!",2024-05-19 09:00:00
17,747,53,3,"Comida caseira simples. Sem inovação, mas honesta.",2024-04-12 17:00:00
18,129,37,1,"Sopa derramada na embalagem, completamente fria ao chegar.",2024-07-27 06:00:00
19,1647,20,2,Pizza com massa crua no meio. Precisava de mais tempo no forno.,2024-01-31 14:00:00
20,1853,58,4,Pizza crocante e bem distribuída. Parabéns ao restaurante.,2024-11-18 02:00:00
21,675,4,5,"Entregador gentil, comida impecável. Experiência 5 estrelas.",2024-12-09 21:00:00
22,1665,57,4,Pedi pela segunda vez e manteve a qualidade.,2024-03-15 16:00:00
23,1982,18,5,"Entregou antes do prazo, tudo fresquinho!",2024-01-18 19:00:00
24,1084,33,5,Entrega relâmpago e comida na temperatura perfeita.,2024-10-27 05:00:00
25,1923,2,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-11-28 04:00:00
26,100,49,3,"Tudo certo, sem reclamações. Só não ficou surpreso.",2024-05-27 15:00:00
27,1180,3,3,"Prato bem montado, sabor dentro do esperado.",2024-09-03 21:00:00
28,965,7,4,Sabor excelente e porção generosa.,2024-05-23 18:00:00
29,793,14,4,Entrega antes do prazo e tudo bem embalado.,2024-09-17 06:00:00
30,30,27,3,Salada fresca mas molho muito ácido.,2024-12-29 18:00:00
31,629,64,5,"Marmita completa, bem temperada e ainda quente.",2024-01-28 17:00:00
32,945,17,5,"Marmita completa, bem temperada e ainda quente.",2024-03-07 11:00:00
33,573,34,4,Porção familiar com excelente custo-benefício.,2024-04-05 01:00:00
34,908,3,3,"Prato bem montado, sabor dentro do esperado.",2024-05-27 08:00:00
35,1081,57,3,Tempo de espera razoável para a região.,2024-09-24 06:00:00
36,451,76,4,Qualidade consistente. Sempre bom ao pedir.,2024-09-22 21:00:00
37,1610,18,3,"Pedido correto, sabor mediano. Pode melhorar.",2024-03-29 22:00:00
38,1291,71,1,Arroz empapado e feijão aguado. Parece sobra do dia anterior.,2024-06-04 19:00:00
39,1079,35,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-03-22 22:00:00
40,255,44,4,Churrasco macio e bem temperado.,2024-05-02 05:00:00
41,125,67,3,Tempo de espera razoável para a região.,2024-07-12 21:00:00
42,1928,54,4,"Sushi bem preparado, arroz na textura ideal.",2024-06-27 04:00:00
43,252,26,2,"Entrega foi lenta, embalagem estava úmida.",2024-02-24 05:00:00
44,586,62,3,Massa al dente mas molho podia ter mais sabor.,2024-08-06 00:00:00
45,1569,26,4,Frango grelhado perfeitamente temperado.,2024-10-17 02:00:00
46,825,30,4,Entregador simpático e cuidadoso com o pedido.,2024-12-14 16:00:00
47,508,54,4,Preço justo para a qualidade entregue.,2024-05-20 14:00:00
48,890,72,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-07-16 21:00:00
49,71,54,4,Adorei! Já virou meu favorito.,2024-10-20 12:00:00
50,1609,2,1,Entrega levou mais de 2 horas. Absurdo!,2024-02-29 08:00:00
51,1533,11,5,Simplesmente incrível! Melhor delivery que já experimentei.,2024-11-03 14:00:00
52,248,79,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-08-19 14:00:00
53,1451,61,2,Pizza com massa crua no meio. Precisava de mais tempo no forno.,2024-05-28 04:00:00
54,213,2,5,"Comida quente, bem temperada e porção farta. Perfeito.",2024-07-24 11:00:00
55,910,60,3,"Para saciar a fome cumpre o papel, mas não é destaque.",2024-11-30 07:00:00
56,1742,52,1,Entrega levou mais de 2 horas. Absurdo!,2024-09-21 18:00:00
57,1245,61,4,Frango grelhado perfeitamente temperado.,2024-10-25 11:00:00
58,1697,60,5,Nunca comi uma pizza tão crocante entregue em casa.,2024-02-13 07:00:00
59,1183,2,3,Restaurante cumpriu o básico esperado.,2024-03-02 10:00:00
60,362,15,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-10-07 10:00:00
61,1474,10,5,Superou todas as expectativas. Nota máxima com folga.,2024-07-13 09:00:00
62,679,47,5,Simplesmente incrível! Melhor delivery que já experimentei.,2024-07-16 03:00:00
63,1622,60,2,"Sabor mediano, já comi muito melhor no mesmo estilo.",2024-11-22 20:00:00
64,1090,65,5,Sushi premium com peixe de qualidade superior.,2024-08-24 12:00:00
65,1988,78,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-05-25 05:00:00
66,1848,12,5,Simplesmente incrível! Melhor delivery que já experimentei.,2024-07-28 11:00:00
67,988,73,5,Sushi premium com peixe de qualidade superior.,2024-12-22 16:00:00
68,1513,35,1,Cobrou a mais e o pedido veio incompleto.,2024-05-05 21:00:00
69,112,45,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-02-13 10:00:00
70,1488,29,4,Pizza crocante e bem distribuída. Parabéns ao restaurante.,2024-04-02 23:00:00
71,1454,35,1,Entregador sumiu com o pedido. Tive que acionar o suporte.,2024-12-06 23:00:00
72,384,27,4,Adorei! Já virou meu favorito.,2024-02-03 06:00:00
73,1396,38,5,"Salada fresquíssima, parecia colhida na hora.",2024-11-12 21:00:00
74,1055,6,2,"Refrigerante chegou quente, sem gelo nenhum.",2024-10-24 10:00:00
75,756,43,2,Comida ok mas fria. Precisa melhorar na entrega.,2024-09-13 05:00:00
76,325,62,4,Comida chegou quente e bem embalada.,2024-03-05 03:00:00
77,1624,21,3,"Atendimento neutro, comida sem destaque.",2024-12-04 19:00:00
78,788,79,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-03-23 06:00:00
79,369,59,4,Porção familiar com excelente custo-benefício.,2024-09-24 22:00:00
80,1820,51,3,Salada fresca mas molho muito ácido.,2024-05-01 01:00:00
81,70,40,4,Risoto cremoso na medida certa.,2024-09-09 09:00:00
82,858,10,4,Massa artesanal com molho rico em sabor.,2024-12-15 09:00:00
83,1484,56,4,Massa artesanal com molho rico em sabor.,2024-02-16 23:00:00
84,1556,28,3,"Porção adequada, sabor regular.",2024-01-25 20:00:00
85,1692,42,3,"Ok para o dia a dia, nada especial.",2024-08-16 11:00:00
86,1475,63,4,Qualidade consistente. Sempre bom ao pedir.,2024-08-16 12:00:00
87,1799,48,3,"Ok para o dia a dia, nada especial.",2024-01-28 13:00:00
88,479,26,5,"Marmita completa, bem temperada e ainda quente.",2024-01-23 20:00:00
89,282,32,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-12-17 15:00:00
90,1648,1,1,Arroz empapado e feijão aguado. Parece sobra do dia anterior.,2024-01-28 12:00:00
91,1557,6,4,Qualidade consistente. Sempre bom ao pedir.,2024-04-18 03:00:00
92,1730,25,5,"Salada fresquíssima, parecia colhida na hora.",2024-03-24 04:00:00
93,211,54,4,Atendimento excelente e embalagem cuidadosa.,2024-10-07 22:00:00
94,298,66,4,Pedi pela segunda vez e manteve a qualidade.,2024-07-02 13:00:00
